lista,participantes,par,nomes,transcript,mantem,motivo
1,1r,parB.redondo,Careghuna,ka-re-'gu-na,s,
1,1s,parB.redondo,zacro,za-kro,s,
1,1t,parB.redondo,zombaté,z~o-ba-'te,s,
1,1u,parB.redondo,Wolwolwol,wo-lwo-'lwow,n,ortografia
1,1v,parB.redondo,Olusco,o-'lus-ko,s,
1,1w,parB.redondo,Ôumini,ow-mi-ni,s,
1,1x,parB.redondo,Tovinho,to-'vi-No,n,sufixo inho
1,1aa,parB.redondo,Rodivo,ho-'di-vo,s,
1,1bb,parB.redondo,Dredha,dre-da,n,ortografia
1,1cc,parB.redondo,Lionde,li-'~o-de,s,
1,1dd,parB.redondo,Councli,kown-'kli,s,
1,1ee,parB.redondo,Aspiracorte,as-pi-ra-'koR-te,s,
1,1ff,parB.redondo,coruspitel,ko-rus-pi-'tew,s,
1,1gg,parB.redondo,bune,bu-ne,s,
1,1hh,parB.redondo,Ropelo,ho-'pe-lo,s,
1,1jj,parB.redondo,Mounaim,mow-na-'~i,s,
1,1c,parC.pontudo,Vanvon,v~a-v~o,s,
1,1d,parC.pontudo,Oxal,o-'Saw,s,
1,1e,parC.pontudo,Griteira,gri-'tej-ra,s,
1,1f,parC.pontudo,Feugo,few-go,s,
1,1g,parC.pontudo,Flamboe,fl~a-'bo-e,s,
1,1h,parC.pontudo,tof,to-fi,n,ortografia
1,1i,parC.pontudo,croc,kro-c,n,ortografia
1,1j,parC.pontudo,Marvino,maR-'vi-no,s,
1,1l,parC.pontudo,Chubrulo,Su-'bru-lo,s,
1,1m,parC.pontudo,Quetoquiti,ke-to-ki-'ti,s,
1,1n,parC.pontudo,Zia,zia,s,
1,1o,parC.pontudo,crampo,kr~a-po,s,
1,1p,parC.pontudo,Moratinhe,mo-ra-'ti-Ne,s,
1,1q,parC.pontudo,Feressi,fe-re-'si,s,
1,1r,parC.pontudo,Tutzsso,tu-ti-zso,n,outro
1,1s,parC.pontudo,iscrovunze,is-kro-'v~u-ze,s,
1,1t,parC.pontudo,téfise,te-fi-ze,s,
1,1u,parC.pontudo,Yeaaah,ie-a-'a-a,n,onomatopeia
1,1v,parC.pontudo,Zimbapa,z~i-'ba-pa,s,
1,1w,parC.pontudo,Esmufato,es-mu-'fa-to,s,
1,1x,parC.pontudo,Treconcinto,tre-k~o-'s~i-to,s,
1,1aa,parC.pontudo,Eridos,e-'ri-dos,s,
1,1bb,parC.pontudo,Arkerto,aR-'keR-to,s,
1,1cc,parC.pontudo,Pitaro,pi-'ta-ro,s,
1,1dd,parC.pontudo,Griz,gris,s,
1,1ee,parC.pontudo,Fantoforme,f~a-to-'foR-me,s,
1,1ff,parC.pontudo,cavepe,ka-'ve-pe,s,
1,1gg,parC.pontudo,roufam,how-f~a,s,
1,1hh,parC.pontudo,Joile,Zoj-le,s,
1,1jj,parC.pontudo,Cuenhos,ku-'e-Nos,s,
1,1c,parC.redondo,Polten,pow-t~e,s,
1,1d,parC.redondo,Esvil,es-'viw,s,
1,1e,parC.redondo,Voalês,vo-a-'les,s,
1,1f,parC.redondo,Ginoro,Zi-'no-ro,s,
1,1g,parC.redondo,Blá,bla,s,
1,1h,parC.redondo,maro,ma-ro,s,
1,1i,parC.redondo,meteses,me-'te-zes,s,
1,1j,parC.redondo,Mineu,mi-'new,s,
1,1l,parC.redondo,Tebrofa,te-'bro-fa,s,
1,1m,parC.redondo,Usmauba,us-'maw-ba,s,
1,1n,parC.redondo,Teri,te-'ri,s,
1,1o,parC.redondo,tiano,ti-'a-no,s,
1,1p,parC.redondo,Blica,bli-ka,s,
1,1q,parC.redondo,Adimo,a-'di-mo,s,
1,1r,parC.redondo,Ferjuh,feR-Zuh,n,ortografia
1,1s,parC.redondo,uobgnan,u-'ob-gi-n~a,n,outro
1,1t,parC.redondo,angoldo,~a-'gow-do,s,
1,1u,parC.redondo,Lartol,laR-'tow,s,
1,1v,parC.redondo,Zedrata,ze-'dra-ta,s,
1,1w,parC.redondo,Caligã,ka-li-'g~a,s,
1,1x,parC.redondo,Ceriola,se-ri-'o-la,s,
1,1aa,parC.redondo,Lapelu,la-pe-'lu,s,
1,1bb,parC.redondo,Itipoltiun,i-ti-pow-ti-'~u,s,
1,1cc,parC.redondo,Calisso,ka-'li-so,s,
1,1dd,parC.redondo,Shisto,Sis-to,s,
1,1ee,parC.redondo,Dinoforme,di-no-'foR-me,n,palavra do pb
1,1ff,parC.redondo,sôntaro,s~o-ta-ro,s,
1,1gg,parC.redondo,polcher,pow-'SeR,s,
