"participantes","par","nomes","transcript"
"2a","parE.redondo","Prifa","pri-fa"
"2b","parE.redondo","Relido","he-'li-do"
"2c","parE.redondo","Mismigloia","mis-mi-'gloj-a"
"2d","parE.redondo","ioner","i-o-'neR"
"2e","parE.redondo","mouom","mow~o"
"2f","parE.redondo","nabro","na-bro"
"2l","parE.redondo","Lertico","leR-'ti-ko"
"2m","parE.redondo","Untico","~u-'ti-ko"
"2n","parE.redondo","Satrúvono","sa-'tru-vo-no"
"2o","parE.redondo","Ontru","~o-'tru"
"2p","parE.redondo","Gigoragora","Zi-go-ra-'go-ra"
"2q","parE.redondo","Loil","lojw"
"2r","parE.redondo","Corato","ko-'ra-to"
"2s","parE.redondo","ortus","oR-'tus"
"2t","parE.redondo","Neinefi","nej-ne-'fi"
"2u","parE.redondo","Fagomo","fa-'go-mo"
"2y","parE.redondo","Estimpufros","es-t~i-'pu-fros"
"2bb","parE.redondo","Linhoral","li-No-'raw"
"2dd","parE.redondo","lumo","lu-mo"
"2ee","parE.redondo","hojumo","o-'Zu-mo"
"2ff","parE.redondo","Novul","no-'vuw"
"2gg","parE.redondo","flunar","flu-'naR"
"2hh","parE.redondo","molunas","mo-'lu-nas"
"2ii","parE.redondo","Redocari","he-do-ka-'ri"
"2jj","parE.redondo","palasca","pa-'las-ka"
"2a","parE.pontudo","Ráscote","has-ko-te"
"2b","parE.pontudo","Iscra","is-kra"
"2c","parE.pontudo","Catrirabibe","ka-tri-ra-'bi-be"
"2d","parE.pontudo","zás-zál","zas 'zaw"
"2e","parE.pontudo","tiatu","ti-a-'tu"
"2f","parE.pontudo","équeli","e-ke-li"
"2g","parE.pontudo","Puerer","pu-e-'reR"
"2h","parE.pontudo","Zema","ze-ma"
"2i","parE.pontudo","Resnin","hes-'n~i"
"2j","parE.pontudo","gitexa","Zi-'te-Sa"
"2l","parE.pontudo","Gangelico","g~a-Ze-'li-ko"
"2m","parE.pontudo","Tropim","tro-'p~i"
"2n","parE.pontudo","Conítero","ko-'ni-te-ro"
"2o","parE.pontudo","Crifa","kri-fa"
"2p","parE.pontudo","Humelado","u-me-'la-do"
"2q","parE.pontudo","Zípede","zi-pe-de"
"2r","parE.pontudo","Castuta","kas-'tu-ta"
"2s","parE.pontudo","lampa","l~a-pa"
"2t","parE.pontudo","Gicofapo","Zi-ko-'fa-po"
"2u","parE.pontudo","Pocatu","po-ka-'tu"
"2w","parE.pontudo","Zapiu","za-'piw"
"2y","parE.pontudo","Necofem","ne-'ko-f~e"
"2aa","parE.pontudo","trinune","tri-'nu-ne"
"2dd","parE.pontudo","trima","tri-ma"
"2ee","parE.pontudo","komi","ko-'mi"
"2ff","parE.pontudo","Lidri","li-'dri"
"2gg","parE.pontudo","topelo","to-'pe-lo"
"2ii","parE.pontudo","Vestrisnam","ves-'tris-n~a"
"2jj","parE.pontudo","tritoscu","tri-tos-'ku"
"2a","parF.pontudo","Rapito","ha-'pi-to"
"2b","parF.pontudo","Parelo","pa-'re-lo"
"2c","parF.pontudo","Sacralo","sa-'kra-lo"
"2e","parF.pontudo","zutim","zu-'t~i"
"2f","parF.pontudo","lasa","la-za"
"2h","parF.pontudo","Andex","~a-deS"
"2i","parF.pontudo","Trilisa","tri-'li-za"
"2l","parF.pontudo","Leriae","le-ri-'a-e"
"2n","parF.pontudo","Tritóide","tri-'toj-de"
"2o","parF.pontudo","Chito","ki-to"
"2p","parF.pontudo","Esdeadio","es-de-a-'dio"
"2q","parF.pontudo","Crístide","kris-ti-de"
"2r","parF.pontudo","Funtadi","f~u-ta-'di"
"2s","parF.pontudo","faica","faj-ka"
"2t","parF.pontudo","Ventiqui","v~e-ti-'ki"
"2u","parF.pontudo","Frivoto","fri-'vo-to"
"2w","parF.pontudo","Trililin","tri-li-'l~i"
"2y","parF.pontudo","Juper","Zu-'peR"
"2aa","parF.pontudo","triletu","tri-le-'tu"
"2bb","parF.pontudo","Tribilos","tri-'bi-los"
"2dd","parF.pontudo","pintaco","p~i-'ta-ko"
"2ee","parF.pontudo","premine","pre-'mi-ne"
"2ff","parF.pontudo","Tradiz","tra-'dis"
"2gg","parF.pontudo","azuzo","a-'zu-zo"
"2hh","parF.pontudo","Traque","tra-ke"
"2ii","parF.pontudo","Vampidotre","v~a-pi-'do-tre"
"2jj","parF.pontudo","patrita","pa-'tri-ta"
"2a","parF.redondo","Iolago","i-o-'la-go"
"2b","parF.redondo","Virite","vi-'ri-te"
"2c","parF.redondo","Caldequisto","kaw-de-'kis-to"
"2d","parF.redondo","tôum","towm"
"2e","parF.redondo","pleõ","ple-'~o"
"2f","parF.redondo","biruba","bi-'ru-ba"
"2h","parF.redondo","Tandala","t~a-'da-la"
"2i","parF.redondo","Grenulum","gre-nu-'l~u"
"2j","parF.redondo","curvalula","kuR-va-'lu-la"
"2l","parF.redondo","Dalio","da-'lio"
"2m","parF.redondo","Ontom","~o-t~o"
"2n","parF.redondo","Brilula","bri-'lu-la"
"2o","parF.redondo","Aume","aw-me"
"2p","parF.redondo","Oceacro","o-se-'a-kro"
"2q","parF.redondo","Olol","o-'low"
"2r","parF.redondo","Cloidê","kloj-'de"
"2s","parF.redondo","palingo","pa-'l~i-go"
"2t","parF.redondo","Marcorron","maR-'ko-h~o"
"2u","parF.redondo","Rolamado","ho-la-'ma-do"
"2y","parF.redondo","Vaixo","vaj-So"
"2aa","parF.redondo","conva","k~o-va"
"2bb","parF.redondo","Belotos","be-'lo-tos"
"2dd","parF.redondo","lambela","l~a-'be-la"
"2ee","parF.redondo","caburu","ka-bu-'ru"
"2ff","parF.redondo","Unuli","u-nu-'li"
"2gg","parF.redondo","songo","s~o-go"
"2hh","parF.redondo","Gorlas","goR-las"
"2ii","parF.redondo","Voilarove","voj-la-'ro-ve"
"2jj","parF.redondo","colusca","ko-'luS-ka"
